Player;Role;Team;Opponent_Team;Opponent_Player;Date;Round;Day;Patch;Stage;No_Game;all_Games;Format;Game_of_day;Side;Time;Ban;Ban_Opponent;Pick;Pick_Opponent;Champion;Champion_Opponent;Outcome;Kills_Team;Turrets_Team;Dragon_Team;Baron_Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Team's Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Faker;MID;T1;KT;Bdd;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:28:59;Smolder;Vi;Camille;Jax;Taliyah;Corki;Win;12;9;3;1;17;4;1;1;5;324;30;0;11.2;14359;495;0.249;45;9;7;2;1;1.55;0.31;0.07;0.24;0.16;10381;454;9847;80;358;0.178;0.17;0.417;0;0;0;0;0;11;-6;-602;-1;0;6828;6828;1109;0;3709;0;13;533;6843;28;4;24;0;100
Gumayusi;ADCARRY;T1;KT;Deft;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:28:59;Seraphine;Poppy;Taliyah;Corki;Ziggs;Sivir;Win;12;9;3;1;17;2;1;7;9;318;16;0;11;13319;460;0.231;26;11;5;3;3;0.9;0.38;0.1;0.17;0.093;21874;444;21285;145;755;0.374;0.31;0.75;0;0;0;0;0;-815;-1;477;0;0;8532;8532;553;0;4914;0;16;322;8209;16;6;20;0;0
Keria;SUPPORT;T1;KT;BeryL;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:28:59;Tristana;Nasus;Bard;Sivir;Bard;Leona;Win;12;9;3;1;12;2;0;9;Perfect_KDA;34;0;0;1.2;7892;272;0.137;127;83;21;15;15;4.38;2.86;0.52;0.72;0.452;4749;1089;3448;212;164;0.081;0.38;0.917;0;0;0;0;0;-37;-11;-275;-1;0;1962;1962;3946;1715;6710;249;36;171;10645;0;17;32;0;0
PerfecT;TOP;KT;T1;Zeus;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:28:59;Azir;Maokai;Leona;Ziggs;Jax;Camille;Loss;2;1;0;0;14;0;1;1;1;214;3;0;7.4;8881;306;0.197;20;11;4;2;2;0.69;0.38;0.07;0.14;0.082;5071;2012;2883;176;175;0.121;0.03;0.5;0;0;0;0;0;-490;-26;-1177;-1;0;1462;1462;610;0;8809;0;6;79;17346;43;3;18;0;0
Pyosik;JUNGLE;KT;T1;Oner;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:28:59;Rumble;Yone;Ivern;Sejuani;Ivern;Sejuani;Loss;2;1;0;0;12;0;3;2;0.7;133;116;0;4.6;8181;282;0.181;67;32;12;12;10;2.31;1.1;0.41;0.41;0.273;5635;1369;2795;1471;194;0.135;0.07;1;0;0;0;0;0;105;-23;-371;0;0;380;380;4960;1394;6901;5380;43;275;11200;119;13;26;0;0
Bdd;MID;KT;T1;Faker;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:28:59;Vi;Smolder;Jax;Camille;Corki;Taliyah;Loss;2;1;0;0;15;0;1;1;1;279;0;0;9.6;10608;366;0.235;32;14;6;4;4;1.1;0.48;0.14;0.21;0.131;16501;10949;2980;2572;569;0.395;0.03;0.5;0;0;0;0;0;-11;6;602;1;0;2316;2316;3382;0;7547;0;0;33;11600;0;6;25;0;0
Deft;ADCARRY;KT;T1;Gumayusi;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:28:59;Poppy;Seraphine;Corki;Taliyah;Sivir;Ziggs;Loss;2;1;0;0;15;2;3;0;0.7;289;8;0;10;11388;393;0.252;26;13;7;4;4;0.9;0.45;0.14;0.24;0.106;11003;10635;0;368;380;0.264;0.07;1;0;0;0;0;0;815;1;-477;0;0;0;0;4293;0;6652;0;0;57;14403;88;5;21;100;50
BeryL;SUPPORT;KT;T1;Keria;14.09.2024;2;3;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:28:59;Nasus;Tristana;Sivir;Bard;Leona;Bard;Loss;2;1;0;0;10;0;4;1;0.3;44;0;0;1.5;6053;209;0.134;100;47;23;13;11;3.45;1.62;0.45;0.79;0.408;3531;517;2674;340;122;0.085;0.03;0.5;0;0;0;0;0;37;11;275;1;0;0;0;221;0;12814;0;12;32;13821;101;15;30;0;0
PerfecT;TOP;KT;T1;Zeus;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:36:59;Azir;Smolder;Maokai;Ashe;Gragas;Jax;Win;18;9;3;2;18;3;2;10;6.5;251;4;0;6.8;13123;355;0.183;43;16;5;11;10;1.16;0.43;0.3;0.14;0.114;17671;1021;16650;0;478;0.174;0.35;0.722;0;0;0;0;0;-180;-5;-683;-1;0;839;839;13310;0;23984;0;37;481;24337;60;14;36;0;100
Pyosik;JUNGLE;KT;T1;Oner;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:36:59;Sejuani;Rumble;Miss_Fortune;Skarner;Maokai;Skarner;Win;18;9;3;2;16;2;1;13;15;200;167;0;5.4;12576;340;0.176;70;14;22;14;13;1.89;0.38;0.38;0.59;0.185;17434;1252;15642;540;471;0.172;0.41;0.833;0;0;0;0;0;278;10;586;1;0;3060;3060;30177;0;54636;1312;62;650;52452;16;15;32;200;0
Bdd;MID;KT;T1;Faker;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:36:59;Jhin;Ziggs;Yone;Taliyah;Yone;Taliyah;Win;18;9;3;2;18;6;0;11;Perfect_KDA;351;12;0;9.5;18029;487;0.252;45;9;11;6;6;1.22;0.24;0.16;0.3;0.119;27755;20007;5294;2454;750;0.273;0.46;0.944;0;0;0;0;0;-351;-9;-383;0;0;5720;5720;13294;0;29392;0;26;216;22470;0;8;27;50;0
Deft;ADCARRY;KT;T1;Gumayusi;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:36:59;Kalista;Rell;Gragas;Jax;Miss_Fortune;Ashe;Win;18;9;3;2;18;7;1;6;13;365;11;0;9.9;17970;486;0.251;63;21;12;9;8;1.7;0.57;0.24;0.32;0.167;29449;28489;710;250;796;0.29;0.35;0.722;0;1;0;0;0;388;10;-374;0;0;9082;9082;8240;0;21979;0;6;95;13816;46;11;32;50;350
BeryL;SUPPORT;KT;T1;Keria;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Blue;00:36:59;Renata_Glasc;Blitzcrank;Poppy;Braum;Poppy;Braum;Win;18;9;3;2;14;0;1;15;15;49;0;0;1.3;9820;266;0.137;157;64;26;22;21;4.25;1.73;0.59;0.7;0.415;9324;7215;1081;1028;252;0.092;0.41;0.833;0;0;0;0;0;-287;1;-237;0;0;1266;1266;2647;0;16977;766;36;224;17519;25;25;40;0;0
Zeus;TOP;T1;KT;PerfecT;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:36:59;Smolder;Azir;Ashe;Maokai;Jax;Gragas;Loss;5;2;3;0;17;2;3;0;0.7;295;15;0;8;13364;361;0.226;58;22;11;11;9;1.57;0.59;0.3;0.3;0.188;21162;9658;10931;573;572;0.255;0.05;0.4;0;1;0;0;0;180;5;683;1;0;3873;3873;4741;0;40128;0;19;203;32170;107;12;37;450;50
Oner;JUNGLE;T1;KT;Pyosik;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:36:59;Rumble;Sejuani;Skarner;Miss_Fortune;Skarner;Maokai;Loss;5;2;3;0;15;0;4;5;1.3;201;176;0;5.4;10158;275;0.172;50;9;15;8;7;1.35;0.24;0.22;0.41;0.162;13133;8174;4492;467;355;0.158;0.14;1;0;0;0;0;0;-278;-10;-586;-1;0;56;56;13638;0;73429;0;33;832;41554;129;9;27;0;0
Faker;MID;T1;KT;Bdd;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:36:59;Ziggs;Jhin;Taliyah;Yone;Taliyah;Yone;Loss;5;2;3;0;17;1;5;2;0.6;333;32;0;9;13298;360;0.225;28;15;0;5;4;0.76;0.41;0.14;0;0.091;17166;1274;15538;354;464;0.207;0.08;0.6;0;0;0;0;0;351;9;383;0;0;134;134;1619;0;12065;0;28;693;15541;183;7;24;0;200
Gumayusi;ADCARRY;T1;KT;Deft;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:36:59;Rell;Kalista;Jax;Gragas;Ashe;Miss_Fortune;Loss;5;2;3;0;17;1;3;3;1.3;369;17;0;10;14409;390;0.244;44;14;10;7;6;1.19;0.38;0.19;0.27;0.143;23123;19857;2846;420;625;0.279;0.11;0.8;0;0;0;0;0;-388;-10;374;0;0;1587;1587;6115;0;15152;0;49;1083;15021;51;9;31;0;50
Keria;SUPPORT;T1;KT;BeryL;14.09.2024;2;3;v14.16;Regional_Finals_2024;4;5;5;4;Red;00:36:59;Blitzcrank;Renata_Glasc;Braum;Poppy;Braum;Poppy;Loss;5;2;3;0;11;1;3;3;1.3;41;0;0;1.1;7885;213;0.133;128;77;15;26;24;3.46;2.08;0.7;0.41;0.416;8290;822;5690;1778;224;0.1;0.11;0.8;0;0;0;0;0;287;-1;237;0;0;891;891;499;0;19111;1567;38;236;24237;107;28;42;0;0
Zeus;TOP;T1;KT;PerfecT;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:33:14;Maokai;Rumble;Yone;Sejuani;Yone;Camille;Win;10;9;3;1;18;3;4;3;1.5;290;20;0;8.7;13702;412;0.216;26;11;3;6;6;0.78;0.33;0.18;0.09;0.1;14494;10034;3531;929;436;0.207;0.18;0.6;1;1;0;0;0;507;20;-223;0;0;3112;3112;7247;0;23744;0;21;192;23145;122;7;26;50;50
Oner;JUNGLE;T1;KT;Pyosik;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:33:14;Smolder;Azir;Jhin;Miss_Fortune;Lillia;Sejuani;Win;10;9;3;1;16;2;2;6;4;243;216;0;7.3;12310;370;0.195;38;5;13;3;3;1.14;0.15;0.09;0.39;0.146;15751;329;12189;3233;474;0.224;0.24;0.8;0;0;0;0;0;110;11;593;0;0;4919;4919;24201;0;22397;0;17;486;34089;56;4;18;100;50
Faker;MID;T1;KT;Bdd;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:33:14;Jax;Ziggs;Lillia;Camille;Corki;LeBlanc;Win;10;9;3;1;17;1;0;4;Perfect_KDA;312;12;0;9.4;13694;412;0.216;32;15;7;4;3;0.96;0.45;0.12;0.21;0.123;17214;11971;3520;1723;518;0.245;0.15;0.5;0;0;0;0;0;-503;-9;-280;-1;0;9575;9575;6165;0;10067;0;1;50;17946;0;5;25;0;0
Gumayusi;ADCARRY;T1;KT;Deft;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:33:14;Rell;Bard;Corki;Alistar;Jhin;Miss_Fortune;Win;10;9;3;1;17;4;0;4;Perfect_KDA;328;12;0;9.9;15339;462;0.242;34;12;11;3;3;1.02;0.36;0.09;0.33;0.13;17470;15328;2002;140;526;0.249;0.24;0.8;0;1;0;0;0;251;-1;215;0;0;6636;6636;5095;0;4475;0;21;145;8470;0;4;26;0;0
Keria;SUPPORT;T1;KT;BeryL;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Blue;00:33:14;Poppy;Gwen;Leona;LeBlanc;Leona;Alistar;Win;10;9;3;1;12;0;2;5;2.5;38;0;0;1.1;8244;248;0.13;131;69;21;16;16;3.94;2.08;0.48;0.63;0.502;5248;1402;2594;1252;158;0.075;0.15;0.5;0;0;0;0;0;26;-10;-785;-1;0;3179;3179;993;0;10563;0;34;62;12975;36;18;34;0;0
PerfecT;TOP;KT;T1;Zeus;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:33:14;Rumble;Maokai;Sejuani;Yone;Camille;Yone;Loss;8;0;1;0;17;1;3;5;2;267;4;0;8;11200;337;0.212;34;10;8;7;6;1.02;0.3;0.21;0.24;0.109;11863;7671;1359;2833;357;0.215;0.18;0.75;0;0;0;0;0;-507;-20;223;0;0;2515;2515;2643;0;22066;0;15;234;23969;81;8;29;0;0
Pyosik;JUNGLE;KT;T1;Oner;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:33:14;Azir;Smolder;Miss_Fortune;Jhin;Sejuani;Lillia;Loss;8;0;1;0;14;1;2;5;3;188;164;0;5.7;9737;293;0.184;83;31;17;11;10;2.5;0.93;0.33;0.51;0.265;6756;3357;3147;252;203;0.122;0.18;0.75;0;0;0;0;0;-110;-11;-593;0;0;0;0;15436;253;35090;0;20;416;33772;84;12;28;0;0
Bdd;MID;KT;T1;Faker;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:33:14;Ziggs;Jax;Camille;Lillia;LeBlanc;Corki;Loss;8;0;1;0;16;3;2;1;2;290;0;0;8.7;12008;361;0.227;39;16;5;7;7;1.17;0.48;0.21;0.15;0.125;18731;2039;15135;1557;564;0.339;0.12;0.5;0;0;0;0;0;503;9;280;1;0;1005;1005;1796;0;8607;0;12;60;17961;46;9;32;50;100
Deft;ADCARRY;KT;T1;Gumayusi;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:33:14;Bard;Rell;Alistar;Corki;Miss_Fortune;Jhin;Loss;8;0;1;0;17;1;1;1;2;346;14;0;10.4;12707;382;0.24;54;19;13;9;8;1.62;0.57;0.27;0.39;0.173;14683;14110;573;0;442;0.266;0.06;0.25;0;0;0;0;0;-251;1;-215;0;0;19;19;3344;0;16519;0;4;126;10044;46;10;28;50;0
BeryL;SUPPORT;KT;T1;Keria;14.09.2024;2;3;v14.16;Regional_Finals_2024;5;5;5;5;Red;00:33:14;Gwen;Poppy;LeBlanc;Leona;Alistar;Leona;Loss;8;0;1;0;11;2;2;3;2.5;44;0;0;1.3;7199;217;0.136;103;58;11;20;16;3.1;1.75;0.6;0.33;0.329;3200;275;2635;290;96;0.058;0.15;0.625;0;0;0;0;0;-26;10;785;1;0;0;0;5018;2715;17960;651;27;73;14482;75;23;39;0;50
