Player;Role;Team;Opponent_Team;Opponent_Player;Date;Round;Day;Patch;Stage;No_Game;all_Games;Format;Game_of_day;Side;Time;Ban;Ban_Opponent;Pick;Pick_Opponent;Champion;Champion_Opponent;Outcome;Kills_Team;Turrets_Team;Dragon_Team;Baron_Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Team's Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Zeus;TOP;T1;DK;kingen;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:45:28;Vi;Azir;Rumble;Ziggs;Rumble;KSante;Win;15;9;4;2;18;4;2;7;5.5;376;49;0;8.3;19558;430;0.222;61;19;7;12;12;1.34;0.42;0.26;0.15;0.129;39634;526;37317;1791;872;0.339;0.24;0.733;1;1;0;0;0;975;32;553;1;0;1222;1222;5799;0;25498;0;20;496;22233;89;17;39;700;100
Oner;JUNGLE;T1;DK;Lucid;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:45:28;Nasus;Jhin;Sejuani;Corki;Sejuani;Maokai;Win;15;9;4;2;18;0;1;9;9;236;181;0;5.2;13911;306;0.158;86;20;29;18;18;1.89;0.44;0.4;0.64;0.182;12704;5731;5485;1488;279;0.109;0.2;0.6;0;0;0;0;0;23;17;716;0;0;5236;5236;15766;0;70926;1968;29;453;52657;45;20;37;0;0
Faker;MID;T1;DK;ShowMaker;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:45:28;Smolder;Tristana;Yone;KSante;Yone;Corki;Win;15;9;4;2;18;0;2;7;3.5;440;28;0;9.7;19353;426;0.22;57;9;16;9;7;1.25;0.2;0.2;0.35;0.121;14225;9182;3436;1607;313;0.122;0.15;0.467;0;0;0;0;0;-937;-20;-462;-1;0;4892;4892;15667;0;40694;0;18;283;32178;78;13;39;0;0
Gumayusi;ADCARRY;T1;DK;Aiming;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:45:28;Poppy;Bard;Miss_Fortune;Maokai;Miss_Fortune;Ziggs;Win;15;9;4;2;18;9;1;3;12;550;69;0;12.1;24512;539;0.278;82;14;27;4;3;1.8;0.31;0.09;0.59;0.174;43495;41109;1456;930;957;0.372;0.26;0.8;0;0;0;0;0;-142;-12;-621;0;0;11584;11584;6553;0;29269;0;11;254;11544;28;7;26;600;50
Keria;SUPPORT;T1;DK;Moham;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Blue;00:45:28;Ivern;Rakan;Alistar;Blitzcrank;Alistar;Blitzcrank;Win;15;9;4;2;15;2;2;11;6.5;42;0;0;0.9;10828;238;0.123;186;107;18;30;30;4.09;2.35;0.66;0.4;0.394;6858;840;4222;1796;151;0.059;0.29;0.867;0;0;0;0;0;96;1;-767;-1;0;0;0;6797;3802;31786;604;32;88;26807;50;33;50;0;0
kingen;TOP;DK;T1;Zeus;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:45:28;Azir;Vi;Ziggs;Rumble;KSante;Rumble;Loss;8;5;1;0;18;0;4;3;0.8;271;1;0;6;12889;283;0.172;55;21;9;16;16;1.21;0.46;0.35;0.2;0.114;8201;6170;1032;999;180;0.083;0.07;0.375;0;0;0;0;0;-975;-32;-553;-1;0;3617;3617;3845;0;70775;207;20;475;33605;151;18;38;0;0
Lucid;JUNGLE;DK;T1;Oner;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:45:28;Jhin;Nasus;Corki;Sejuani;Maokai;Sejuani;Loss;8;5;1;0;16;2;2;5;3.5;207;170;0;4.6;12824;282;0.171;100;16;30;16;15;2.2;0.35;0.35;0.66;0.207;12455;465;11630;360;274;0.126;0.15;0.875;0;0;0;0;0;-23;-17;-716;0;0;116;116;21191;0;57023;1218;60;661;54534;94;20;37;50;100
ShowMaker;MID;DK;T1;Faker;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:45:28;Tristana;Smolder;KSante;Yone;Corki;Yone;Loss;8;5;1;0;18;3;2;2;2.5;502;42;0;11;20767;457;0.276;103;25;24;7;7;2.27;0.55;0.15;0.53;0.214;34300;27055;4364;2881;754;0.348;0.11;0.625;0;0;0;0;0;937;20;462;1;0;6091;6091;9614;0;15483;0;0;97;24679;56;10;34;50;550
Aiming;ADCARRY;DK;T1;Gumayusi;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:45:28;Bard;Poppy;Maokai;Miss_Fortune;Ziggs;Miss_Fortune;Loss;8;5;1;0;18;3;2;3;3;500;34;0;11;19353;426;0.258;52;16;10;3;3;1.14;0.35;0.07;0.22;0.108;39076;707;38009;360;859;0.396;0.13;0.75;0;0;0;0;0;142;12;621;0;0;7185;7185;1882;0;7353;0;21;570;15647;56;9;31;50;650
Moham;SUPPORT;DK;T1;Keria;12.09.2024;1;1;v14.16;Regional_Finals_2024;3;5;5;3;Red;00:45:28;Rakan;Ivern;Blitzcrank;Alistar;Blitzcrank;Alistar;Loss;8;5;1;0;13;0;5;7;1.4;35;0;0;0.8;9308;205;0.124;172;105;14;30;30;3.78;2.31;0.66;0.31;0.357;4594;1246;2778;570;101;0.047;0.15;0.875;0;0;0;0;0;-96;-1;767;1;0;382;382;2055;0;16544;0;27;230;23791;152;33;47;0;0
